SPEC,LONG,LAT
Anopheles pseudopunctipennis,-100.177222,22.246667
Anopheles pseudopunctipennis,-101.963055,20.341944
Anopheles pseudopunctipennis,-109.815555,28.005833
Anopheles pseudopunctipennis,-105.456944,22.396944
Anopheles pseudopunctipennis,-96.873611,19.653333
Anopheles pseudopunctipennis,-97.868611,22.255278
Anopheles pseudopunctipennis,-103.856389,20.583333
Anopheles pseudopunctipennis,-104.639167,19.481111
Anopheles pseudopunctipennis,-97.988889,16.761111
Anopheles pseudopunctipennis,-102.050833,19.1575
Anopheles pseudopunctipennis,-96.365278,19.063889
Anopheles pseudopunctipennis,-104.5725,29.156944
Anopheles pseudopunctipennis,-112.048333,26.200833
Anopheles pseudopunctipennis,-97.001389,20.140278
Anopheles pseudopunctipennis,-98.790555,18.522778
Anopheles pseudopunctipennis,-108.932222,27.023333
Anopheles pseudopunctipennis,-102.287222,20.043333
Anopheles pseudopunctipennis,-99.227222,18.854444
Anopheles pseudopunctipennis,-98.261111,18.713333
Anopheles pseudopunctipennis,-96.553333,17.534444
Anopheles pseudopunctipennis,-101.933333,21.355833
Anopheles pseudopunctipennis,-108.141389,29.19
Anopheles pseudopunctipennis,-95.144444,18.151944
Anopheles pseudopunctipennis,-91.426389,17.470833
Anopheles pseudopunctipennis,-100.846667,25.445278
Anopheles pseudopunctipennis,-87.700555,21.482778
Anopheles pseudopunctipennis,-99.512222,22.4775
Anopheles pseudopunctipennis,-99.557778,15.8025
Anopheles pseudopunctipennis,-102.983611,19.273611
Anopheles pseudopunctipennis,-99.219444,22.533333
Anopheles pseudopunctipennis,-100.629722,21.779444
Anopheles pseudopunctipennis,-99.918333,26.625556
Anopheles pseudopunctipennis,-99.467222,17.360556
Anopheles pseudopunctipennis,-98.1775,22.055278
Anopheles pseudopunctipennis,-98.971389,22.743333
Anopheles pseudopunctipennis,-99.914444,18.878611
Anopheles pseudopunctipennis,-102.061389,19.426111
Anopheles pseudopunctipennis,-100.673055,29.070556
Anopheles pseudopunctipennis,-96.460278,15.787222
Anopheles pseudopunctipennis,-113.4175,27.617222
Anopheles pseudopunctipennis,-100.655278,22.245
Anopheles pseudopunctipennis,-93.209167,15.686667
Anopheles pseudopunctipennis,-99.392222,21.957778
Anopheles pseudopunctipennis,-104.942456,23.913813
Anopheles pseudopunctipennis,-98.954167,19.4375
Anopheles pseudopunctipennis,-100.896944,18.626389
Anopheles pseudopunctipennis,-98.555555,18.591111
Anopheles pseudopunctipennis,-109.708055,23.061389
Anopheles pseudopunctipennis,-92.465555,16.329444
Anopheles pseudopunctipennis,-100.022222,19.126944
Anopheles pseudopunctipennis,-109.928333,27.581389
Anopheles pseudopunctipennis,-112.266944,27.338889
Anopheles pseudopunctipennis,-104.240833,23.843611
Anopheles pseudopunctipennis,-92.260555,14.908056
Anopheles pseudopunctipennis,-96.229167,15.822778
Anopheles pseudopunctipennis,-106.415278,23.236111
Anopheles pseudopunctipennis,-99.996667,21.931944
Anopheles pseudopunctipennis,-111.0825,24.588611
Anopheles pseudopunctipennis,-104.395555,23.473056
Anopheles pseudopunctipennis,-89.621667,20.967778
Anopheles pseudopunctipennis,-102.575278,22.771667
Anopheles pseudopunctipennis,-100.392778,20.5875
Anopheles pseudopunctipennis,-92.370833,16.891667
Anopheles pseudopunctipennis,-94.351667,16.479167
Anopheles pseudopunctipennis,-102.02,22.192778
